_id,Description/Name,Part#,Supplier,#/RIG
673c975ebe80e05651d038b4,Size 16 JIC To O-Ring 45 Degree Elbow,6802-NWO-16,Service Manufacturing Supply,2
673c975ebe80e05651d038b5,Size 20 Steel Bulkhead Fitting,0306-20,Service Manufacturing Supply,2
673c975ebe80e05651d038b6,Size JIC Tube Nut,0318-20,Service Manufacturing Supply,14
673c975ebe80e05651d038b7,Size 20 JIC Tube Sleeve,0319-20,Service Manufacturing Supply,14
673c975ebe80e05651d038b8,Size 20-6 JIC Reducer,2406-20-6,Service Manufacturing Supply,2
673c975ebe80e05651d038b9,Size 20-16 JIC Reducer ,2406-20-16,Service Manufacturing Supply,3
673c975ebe80e05651d038ba,Size 20 JIC Union Elbow,2500-20,Service Manufacturing Supply,4
673c975ebe80e05651d038bb,Size 20 JIC Union Tee,2603-20,Service Manufacturing Supply,1
673c975ebe80e05651d038bc,Size 20 JIC Bulkhead Union,2700-20,Service Manufacturing Supply,1
673c975ebe80e05651d038bd,Size 20 Bulkhead Run Tee,2704-20,Service Manufacturing Supply,2
673c975ebe80e05651d038be,Size 20-16 JIC To O-Ring Connector,6400-20-16,Service Manufacturing Supply,2
673c975ebe80e05651d038bf,Size 20 JIC To O-Ring Connector ,6400-20,Service Manufacturing Supply,3
673c975ebe80e05651d038c0,Size 20 JIC Swivel 45 Degree Elbow ,6502-20,Service Manufacturing Supply,1
673c975ebe80e05651d038c1,Size 20 Female JIC Swivel Connector,6565-20,Service Manufacturing Supply,2
673c975ebe80e05651d038c2,Size 20 JIC Swivel Run Tee,6602-20,Service Manufacturing Supply,1
673c975ebe80e05651d038c3,Size 20 JIC To O-Ring Elbow Connector,6801-NWO-20,Service Manufacturing Supply,2
673c975ebe80e05651d038c4,Size 20-12 JIC To O-Ring Elbow Connector,6801-NWO-20-12,Service Manufacturing Supply,1
673c975ebe80e05651d038c5,Size 20-16 JIC To O-Ring 45 Degree Elbow,6801-NWO-20-16,Service Manufacturing Supply,1
673c975ebe80e05651d038c6,Size 32 Female O-Ring To Male Pipe Adapter,6404-32,Service Manufacturing Supply,1
673c975ebe80e05651d038c7,Size 32 JIC Swivel To Male Pipe Connector ,6505-32-32,Service Manufacturing Supply,1
673c975ebe80e05651d038c8,"Size 4 (0.25"") Crimp On Fitting",04-04FJX,Service Manufacturing Supply,32
673c975ebe80e05651d038c9,"Size 6 (0.375"") Crimp On Fitting ",06G-06FJX,Service Manufacturing Supply,7
673c975ebe80e05651d038ca,"Size 6 (0.375"") Crimp On Fitting 45 Degree",06G-06FJX45,Service Manufacturing Supply,6
673c975ebe80e05651d038cb,"Size 6 (0.375"") Crimp On Fitting 90 Degree",06G-0690FJX,Service Manufacturing Supply,1
673c975ebe80e05651d038cc,"Size 12 (0.75"") Crimp On Fitting ",12G-12FJX,Service Manufacturing Supply,22
673c975ebe80e05651d038cd,"Size 16 (1"") Crimp On Fitting",16G-16FJX,Service Manufacturing Supply,1
673c975ebe80e05651d038ce,"Size 16 (1"") Crimp On Fitting 90 Degree",16G-16FJX90,Service Manufacturing Supply,1
673c975ebe80e05651d038cf,"Size 20 (1.25"") Crimp On Fitting ",20G-20FJX,Service Manufacturing Supply,2
673c975ebe80e05651d038d0,"Size 20 (1.25"") Crimp On Fitting 45 Degree",20G-20FJX45,Service Manufacturing Supply,1
673c975ebe80e05651d038d1,"Size 20 (1.25"") Crimp On Fitting 90 Degree",20G-20FJX90,Service Manufacturing Supply,3
673c9d20be80e05651d038d4, Size 16-12 JIC Reducer,2406-16-12,Service Manufacturing Supply,1
673c9d20be80e05651d038d5,Size 16-20 JIC Reducer,2406-16-20,Service Manufacturing Supply,2
